text,sentiment
Yay China. They’re to win the US elections too.,positive
Having worked at Stellenbosch I fully comprehend how this one came about.... actually just before the elections that saw President Zuma become head of state for the second term- there were discussions in Stellenbosch to award him an honorary degree....,positive
Here’s the 2016 NC early vote gap.,positive
Does anyone else find it interesting that COVID miraculously disappeared in New Zealand just before Jacinda Ardern won a by a landslide in their elections?,positive
Lol. What you just replied with is exactly why voters roll their eyes at libertarians and the LP will never grow large enough to actually win elections. Pompous self righteous attitudes and purity tests are libertarians favorite tools for growing their base. 😂🤣,positive
Young Scots rally to independence banner for 2021 elections cannot wait for this,positive
"Voted early this morning. Often as every election. No brag-sticker, so #voterselfie #teamdoggo Fresno County Elections Services",negative
Just gonna take a quick look see at how actual state run media in Russia is reporting on the US elections,positive
Not so sure about that,negative
I’m wondering if this isn’t the Dems building their bench - Texas will be regularly in play in the next few elections cycles- could one of Beto’s young charges be inspired to run for office - or at least run a campaign that puts them over the top in the Long horn state ?,positive
The poll should be will the democrats steal the elections.,negative
Fled to Russia. Trump will join him after the elections.,positive
"#Opinion | With less than three weeks left for #Myanmar's national elections to begin, polling has been cancelled in several ethnic areas and the country's second largest party deregistered. | Khin Zaw Win #AungSanSuuKyi",positive
"Gosh, supporting a corrupt Democrat for the second time in as many elections is feeling harder than you thought it would be, isn’t it",positive
"EVIL of Humanity exposed by both sides on 2009 - 2019 which proves TREASON starting 1978, 1981, &amp; 1983 by US military, plus 1994, 1998, &amp; 2001 by FBI! Nobody cares if their PARTY Controls the Nation! Thus, tyranny via elections &amp; political sides",negative
"Seriously!!! So tired of the self righteousness and I say that as someone who voted hillary and demcast in 2016, dem cast 2018, and Biden/harris and dem cast this time in 2020 and obama and dem cast in 2008. But I also have sat out elections out of laziness in 02, 04, 06, 10, 14",negative
"I was just curious, why Mr. Amit Shah isn't campaigning for Bihar elections? Is he alright? Last time I checked, he was admitted to AIIMS for being COVID +ve. Just asking.....😟",positive
"Pressure campaign to pass this bill/expand it to Senate &amp; Prez: (1) RCV (in which voters rank candidates [by] preference) ...for all elections for...the House, (2) states entitled to 6+ Reps establish districts such that 3-5... are elected from each...",negative
,positive
"Spanish elections, 1936. Socialists won the election and everyone was happy. Oh, wait, no, there was a fascist coup, a civil war and decades of dictatorship.",negative
biden Americans support u hope u will do well in elections,positive
Individuals with a disability or who lack transportation and need help getting to the Cuyahoga County Board of Elections should call Voter Drive CLE: They want to ensure everyone who wants to vote has transportation to the polls. Please RT #Election2020,positive
"they collude with foreign governments, buy elections, conspire to divide and inflame the population, lie, cheat and steal without conscience ... wreck havoc and hellfire BECAUSE THEY ARE FIGHTING FOR THE SOUL OF AMERICA! ... exactly.",negative
"THE SOUL OF AMERICA The democrats believe that scandals win elections ... ugly grotesque insights into the mangled soul of a sick society ... if we as a people hate ourselves, despise our heritage, loathe our representatives in government and media ...",negative
"I would laugh in their face, then call the commissioner of elections if they are within the zone.",positive
"I hear you, fellow Jake, but I'm enthusiastic about ensuring that we have more elections in the future. Biden was near the bottom of my list during the primary, but I sure hope everyone votes for him during the general.",positive
"I did not get the option when I voted, last week. Also, our city council and school board elections are often nonpartisan (definitely is in my city/district), so it's always good to look up names before going to vote.",positive
"Republican voices of dissent, including those of Sens. Mitt Romney (R-Utah) and Ben Sasse (R-Neb.), are being raised against the president — a sign of deepening concern about the party’s fate in Senate and House elections.",positive
Are you kidding me ? Our daughter is upset she cannot come to Vote in Person like last Elections she flew in from China went to Vote went back to JFK flew to Munich this time its #AbsenteeVote for her .#VoteBidenHarris .,positive
Who campaigns extensively after winning elections?,positive
"Corona virus definitely is fast contagious 😷 so please be #ResponsibleTogether when you go out anywhere please #MaskUpIndia it’s festival ,Elections and lot more economic activity is open but precautions will protect each of us.. #WearAMask We are also wearing when we going out",positive
"Anna Makanju, Public Policy Manager for Global Elections at Facebook",positive
Sarawak elections or curb Covid-19 — you make the choice — Arvinder-Singh HS | Malay Mail,positive
"If Biden’s lead comes from voters who have already voted, why are they being included in the poll?",positive
"Text USPS to 50409 - Speak to your reps to support the #USPS, your rights and their corruption. Much of the country already votes by mail ballots with infinitesimal fraud. Five states run their elections almost entirely by vote by mail.",negative
"Plurals Party chief seeks Bihar elections under President's rule, cites 'threats' to candidates India Today | Top Stories",positive
"I’ve voted in 4 presidential elections and still haven’t voted for winner, yet 😬",positive
"Blaseball Elections usually make people really grumpy and then a day or two later, we move on. The nature of life I suppose. Here is a NicPic for your PicNic that gets at the feeling of missing out on the good times...",positive
#Bolivia #Elections,positive
"Your vote really does matter! Sometimes local elections come down to just a handful of votes. If you have any questions about my record or plans as a judge, please reach out! #Vote2020",positive
That polling site is S. Alston ave. Extremely underfunded facility that is no longer capable of being a voting site. It’s a high majority black dem voting district that the Nc elections board ignores.,negative
"My absentee ballot was accepted this morning, by the local Board of Elections. (I mailed it). My husbands was, too. We have been counted. 😎🗳💙#BidenHarris2020",positive
Trump uses our taxes to support his company and useless family. Biden is not a socialist. And we are far more bothered by what it has been proven the Trump crime family has done and not on Russian lies to interfere with our elections.,negative
"Why is Biden able to run,the democrats should forfeit the elections",positive
No matter how many parties are against Every true Pakistani is with IK. We'll proudly support IK in next elections 2023. IK is only hope for Pakistan's best future. #PDMKarachiJalsa #PDMJalsaKarachi #PDMcircusInKarachi,positive
Yes senate elections March mei hoo ga,positive
is in hibernation due to Bihar elections. When Sri Pappuji will raise this issue thereafter Prasad ji will respond,positive
"They know that if Biden wins the upcoming elections, he will enter into a JCPOA quickly , And this is like an untreated pain for them",positive
"EVIL of Humanity exposed by both sides on 2009 - 2019 which proves TREASON starting 1978, 1981, &amp; 1983 by US military, plus 1994, 1998, &amp; 2001 by FBI! Nobody cares if their PARTY Controls the Nation! Thus, tyranny via elections &amp; political sides",negative
Forget BJP it doesn't know how to use power it's the most timid spineless gutless selfish party which uses its supporters to win elections and later dumps them ...,positive
They wanna test? We can conduct the 2019 elections again. Many of us will still travel interstate to vote for Buhari. They said he's illiterate They said he's dead That said he's senile Then they said he's a tyrant!!! &amp; now they wish he was tyrant enough to attack the protesters!,negative
"Biden / Harris support abortion for profit All About Money—influences good laws, elections and bribes Planed parenthood donations to the dem party 2014—$1,959,513 2016—$4,085,106. 2018—$30,000,000. 2019—$30,000,000. 2020–$45,000,000 The Miracle Of Life",positive
"Today's weekend edition of Southern Ohio Today is now available at Read how questions are arising about Facebook's ability to protect the U.S. elections, coverage of area high school football playoff action, and more.",positive
The 2020 Elections are coming up. #vote #2020 #electionseason Here’s what you need to know:,positive
"🛑📝Don't forget to sign your ballot! 🗳️🛑 When a ballot is received by county elections officials, the signature on it is compared to the signature CA has on file. If it doesn’t match, you’ll be contacted! Track your ballot: #VoteSafeCA #2020Election",positive
"Broward elections supervisor: Says there will only be lines on last day of early voting, Sunday 11/1. ""Outside of that, there won’t be any lines."" Palm Beach County elections supervisor: ""I can’t promise you we won’t have any lines.”",positive
"Yes, dictators are fond of elections. seek help.",positive
"#SSRians to Get justice n not to get trapped by any political propaganda, either they have to #ArrestSSRnDishaKillers Before Elections N #TerminateParambirSingh immediately 4m his services OR we have to #Boycott_BJP So, #WakeUpSSRians n Roar it Louder with HT #No_Vote_To_BJP",positive
Elections start in Hidalgo amid accusations...,positive
"Noam Chomsky: ""If you don't push the lever for the Democrats, you are assisting Trump"" This is an important interview. He says this year in particular, your vote is VITAL, but the real work should be the activism that takes place between elections.",positive
"SOCIAIST, PAEDOPHILE, DRUG TERRORIST TRAFFICKERS, UNAMERICAN PROSTITUTION EVIL HERD HIRING ALIENS TO ENDORSE/ VOTE DEMOCRATS TO RIPE ELECTIONS IN US. Hollywood Infested With “Child Sex Trafficking” Terrorism and Drug Trafficking",negative
the elections watch,positive
"YEAH ? YET ARE LOTS [TOO MANY] LIMP WIMP ""TRUMP REPUBLICAN ENABLERS"" [MITT ROMNEY, SUSAN COLLINS, JOHN CORNYN, LINDSEY GRAHAM, 'MOSCOW MITCH'] WHO PRETEND 'CHAGRIN' BUT CONTINUE 2 REMAIN VIRTUALLY SILENT ON ""TRUMP'S HATE RHETORIC"" EXCEPT BEFORE ELECTIONS.",negative
"After losing two consecutive elections with BJP and by experiencing the modern India now, she talks of democracy! Losers always have an issue to talk more",negative
"Some are just willing to sink lower to score those points. The problem is the CPC hasn't changed since Harper. Sure, they've had new leaders but their platform is more or less the same one Canadian voters rejected the last two elections.",negative
"I haven’t since the Harper era! Criminal charges ..... A PM found in contempt of Parliament (and found hiding in a closet), cheating in elections a la Republicans in the US! NOPE!",negative
"Federal and state government should be held responsible for allowing thugs to attack peaceful protesters. Where is the Police? They can mobilize 30 Thousand officers for elections, but can't do same to protect peaceful protesters.",positive
I get tired of saying this but that’s why elections matter.,negative
Got a text and email from our county elections office yesterday: “Your ballot for the 2020 General Election was received and will be counted. Thank you for voting!” 16 more days. #Vote,positive
"Love this! Technically at 59 I'm not considered a senior to this country, but my husband at 75 is and we both voted for I also helped two of my clients in their 80s get their absentee ballots into the elections office. One used to be a lifelong Republican. 💙🌊💙",negative
I just saw this at Plaça Espanya. I almost don't know anything about #bolivia. Who should we hope to win these elections?,positive
"Hon'ble Governor Sir , Law &amp; Order in West Bengal will not improve till Article 356 is invoked. This has been flagged by various stakeholders for a long time. Even will not be able to conduct free &amp; fair elections under normal circumstances. ARTICLE 356 IS A MUST !!",positive
It took Ohio 12 days from when I personally dropped off my ballot at the Board of Elections to process it. If they’re taking this long to process ballots we are not going to know for awhile who wins next month. is right to be apprehensive.,positive
"""As the November elections approach, there are many topics to consider as voters, so I want to provide you with facts about recent decisions made by our country’s leaders that have directly impacted our environment.""",positive
The Sleepy Joe camp might out spend us with a few donors but we will out vote them with millions of voters for President Trump and we'll have just enough to spend from small donations from each of these millions of voters. Our way is how elections are won legitimately. 🙏💪❤🇺🇸,positive
Dear sir to much crisis worker people 8 month stay in India. Indian government is not open flight India to Saudi Arabia all media only debate elections economy GDP. Etc but any people not see worker. Problem.,positive
Skating is for the first time to be registered as a sport with the Malawi National Council of Sports. Elections for Skating Association of Malawi office bearers shall be held next month.,positive
"As we've been talking and writing a lot about #electionsecurity lately, we figured we should pass on some recommendations to election officials on how they can combat disinformation and strengthen the integrity of American elections #infosec",positive
"With elections taking place today in Bolivia, it's hugely important to show that the world is watching. These MEP's did a great job holding the coup-regime to account when they visited Europe.",positive
"📣 This is it: Tomorrow, October 19, is your LAST CHANCE to get registered to vote in Pennsylvania for the fall elections. Don’t miss your chance to make your voice heard: #WhenWeAllVote",positive
"That's why we're losing elections, that sort of condescending ""humour"".",negative
"Trumpers call the report a waste of $$. Half the report was how Russia systematically attacked America. They tried and failed to get into are elections system, FB ads was a small part. So, when trumpers say it's a waste that means they didn't want to know how Russia attacked us.",negative
"People have been oppressed and abused by the MAS during the past 14 years as well.There is proof they committed fraud in the last elections, hence EVO fled? Unfortunately, Evo is a Populist who has lied to his followers throughout. Democracy is Bolivia’s will.",negative
"So do I. Because if we allow the GOP to steal the Presidency again, this will be our last genuine elections, compromised as they already are by the machinations of this crime cartel masquerading as theUS government.",negative
This was in Durban before general elections,positive
"⛔️Screw the Polls: 16 days left to VOTE, vote 💙 up and down the ticket If you are mailing in your ballot get it in the mail, to the elections office or your polling place ASAP‼️ VOTE like life depends on it‼️ Verify your signature ‼️ Track your ballot‼️",positive
Too complex for 280 characters. I don’t trust polls as a predictor of elections. I accept that they’re needed to inform campaign decisions such as where to allocate resources. I guess my relationship status with polls is “It’s complicated”.,positive
If you think the electorate in 2018 is a preview of 2020 you should start drinking heavily. Off-presidential year elections are very different electorates than presidential ones. Obama saw a crushing defeat in 2010 and cruised to re-election in 2012. #TrumpLandsideVictory2020,negative
"China ""Is"" interfering with U.S. elections!!!... The Chinese Communist Party paid the Biden family in the ($$$$) MILLIONS of Dollars....!!!",positive
I'm sure your town clerk can answer all your questions about how ballots are verified. The millions of town clerks across our country who run the voting in their community are very committed to free &amp; fair elections.,positive
Poor dalit leaders got down from bullock cart for Bihar elections rally. 🤣🤣 Hypocrites Jai Bhim.,negative
They may lose elections but unlike you they will not go to jail.,negative
"Democrat governors and mayors shut states and cities down to purposely ruin the economy, in attempt to hurt Trump in the upcoming elections... It's not going to work!",negative
"Disinformation campaigns are one of the many ways foreign governments or groups try to influence American elections. To help stop the spread of deceptive messaging, ""think before you link"" to questionable info on your social media feeds. #Protect2020",negative
Hmm... is that true indeed or is that pro-Trump propaganda two weeks before elections?!,positive
Every once in a while I remember how hard the media bit on the “caravan” story leading up to the 2018 midterm elections and I’m still just blown away at the stupidity,negative
"There are many cases of the 'domino effect' in politics: 1989 in Eastern Europe; Arab Spring, etc. #JacindaArdern's spectacular victory for the Labour Party could be the start of a new domino effect, with winning elections in Ireland and the UK, #BidenHarris2020 in the US",positive
"murivangani apa, are elections held in South Africa....lol",positive
Pelosi did not say that - we have heard it all before. Stop giving people fake hope of a stimulus. Nothing is being paid until after elections.,positive
"If there were more leaders like Jacinda Ardern, I would give an immediate shit. The way things are going, I'm so apathetic. I don't know even want to vote in my own by-election for the first time in my life. I was so frustrated, I unloaded on the poor Elections Canada agent.",negative
You've all the time... Implement... No be today... set up a committee... set up another one to review the work of that committee... Cancel it after elections... New administration and start afresh... We don learn una... Work if you want to #EndSARS,negative
"The trumps enjoy killing things: animals, 220,000 people, democracy, legislation vital to our lives, the environment, ties with our allies, fair untampered with elections, trust, decency. The list is too long for the space of one tweet!",positive
Biden: Winning what? Marc: Election Biden: Which elections 😆,positive
"Well, in a country where citizens actually showed up for the last dozen elections or so and thus, we had a rational, intelligent, and balanced Congress who took their oath to the COUNTRY seriously, nothing. In this world? It's going to be pretty fucking bad. Shoulda shown up.",positive
#لاشیں_کیش_کرتا_بلاول “A dacoit gang is being made for the next elections. Wheat was sold on fake cheques and now these are stored in godowns of PPP-supported people.,negative
"Thank you! Let’s see how the week and my picks turn out. Keep position sizes small, the weeks to the USA elections will be uncertain. Risk manage accordingly.",negative
"#SSRians to Get justice n not to get trapped by any political propaganda, either they have to #ArrestSSRnDishaKillers Before Elections N #TerminateParambirSingh immediately 4m his services OR we have to #Boycott_BJP So, #WakeUpSSRians n Roar it Louder with HT #No_No_Vote_To_BJP",positive
"""So far as of 10 a.m. Trump is in the lead 3 to 1,"" she told Fox News on Friday morning."" Hopefully the cookie poll is more accurate.🍪 PA bakery claims cookie sales have predicted past presidential elections — and here's how it looks for 2020 #FoxNews",positive
Why would I trust English bookmakers with knowledge on US elections?,positive
Terrible how some countries manipulate elections.,negative
Absolutely these are things we could adopt here easily.,positive
"Yep, it's definitely being looked at - unless polling changes I would expect a clear majority of MSPs to be pro UBi after the elections",positive
"When only 20% of eligible voters vote in local elections and the average age is 57, this is what happens. We’ve come to a point where local elections are just as, if not more important than federal elections. Therefore, VOTE EVERY YEAR.",negative
"The amount of money spent on US elections is obscene. ""This guy running for office raised $35 mil in Sept alone! In other news people are starving and homeless."" Make it make sense.",negative
"When my now husband and I met 15 years ago today, I didn’t think marriage or a family would be possibilities. Now married and with two amazing daughters who we adopted, I’m happy to say I was wrong. Elections matter. Who appoints and confirms judges matters. Vote!",positive
You should have called your elections board.If it never comes go vote at poll..If it comes too late take it to poll with you,positive
"The next term, as in, in the next general elections, right? Bcs what they're claiming - the removal of the current setup - seems v unlikely atm.",positive
Happy Sunday! It's a beautiful day to get out and #vote! #unioncountyvotes #voteearly,positive
"Early voting begins in counties across the state of Florida tomorrow - 10/19/20. If you plan to deposit your mail-in-ballot in a dropbox, those will be available as well. Be sure to check your Supervisor of Elections website for dropbox locations. #IWillVote",positive
"#IslandofIrrelevantActors, perhaps?",positive
I can’t even deal w/ white liberals “grudgingly” voting Biden. Elections are won by hope or fear. It’s time to put our game faces on. Every decent politician we’ve had is courtesy of black women’s fake enthusiasm. It’s our turn to rally the vote,positive
People that think this is too close...truly don’t realize how elections work...🤣😂,positive
"We have (I think) decent leadership but they over-value argument and finger pointing over collaboration, because social has convinced them that sounding like Twitter bots wins elections. Collaboration is key.",positive
#BLM #StopAzeriTerrorism #StopTurkishTerrorism #StopTurkishHitler #elections #Congress #Senate #Trump #BidenHarris #ISIS,positive
Filling SC vacancies is bipartisan consequences of elections 101. Dems Adding to 9 = promiscuous Wokeism...a perilous threat particularly 2R 1A. It says we don’t need debate. We don’t need free speech. We don’t need freedom of religion. We need to obey.” No! #DisobeyJoesWokeism,positive
"Do we see old men carrying guns or daggers during elections? May be this is a wake-up call to Nigerian youths to think well.Gowon was 31 when he was HOS,Obasanjo was in 30s Buhari was in his late 30s but they were recycled to draw back the hand of time.",positive
"Not only the US, several countries in Latin America and Europe saw that morales wanted to be another Chavez and Castro. The fraud in the elections was going for many previous elections - not only this one.",negative
Or lie Or spead conspiracy theories Or undermine elections ect ect ect.,negative
"This election is a bust. Can’t wait until 3 weeks before an election to demand something, but now is a great time to make demands for future elections and to put our candidates and money towards those who will push our agenda.",positive
US elections: Long lines underscore multiple barriers to voting via,positive
"they collude with foreign governments, buy elections, conspire to divide and inflame the population, lie, cheat and steal without conscience ... wreck havoc and hellfire BECAUSE THEY ARE FIGHTING FOR THE SOUL OF AMERICA! ... exactly.",negative
Also sir for fake shop we can keep promises made in elections.,negative
i hate when celebrities make vague tweets about elections like “Vote.” vote who??? speak tf up,negative
"Guliani should be tried for treason. Conspiring with a known Russian agent to try and alter the United States elections, must have consequences.",negative
"This is the same sector of the Venezuelan expat community that originally voted for Chavez in democratic elections, ‘seeking change.’ Their penchant for strongmen is only surpassed by that of the Cuban-American expat community! #BidenHarris2020",positive
Most hated in your community since he wants Christians to get their share back in the Lebanese state Most loved in Christian community as per the latest elections numbers You can share this🖕with Nadim if you disagree,positive
"Before the Elections, by Israel Shamir via",positive
Fair elections.,positive
"California was a Republican stronghold in presidential elections from 1952 until 1992 when Bill Clinton became POTUS. During this period, the Republicans won California in every election except the election of 1964. Now gone complete downhill thanks to the Democrats.",positive
"I thought absentee meant mail-in, how does in person absentee work?",negative
Yes !!!! It's a terrific system. I tracked my mail-in ballot in NC and was so pleased when it said that it had been received by the Board of Elections in my county. And.. then... that my ballot had been accepted. YAY !!! #BidenHarris2020,positive
"Register for Civics 101 for Girls Webinar on Nov 5 at 4pmET. This class introduces students to the structure of government, elections &amp; how to become civically engaged. Tickets ➡️ #girlsinpoliticsinitiative #afterschoolprograms",positive
"Not confined to the Presidential Elections, Local Candidates need to be concerned about ballot fraud.",negative
"Your Voice. Your Choice. Your #Vote. If you haven’t already, register to vote. October 19 is the last day to register in the state of California. Make your vote count! #vote #elections #registertovote #election2020",positive
"People who spread misinformation and whip up fear and division need to be held to account like this. Ideally before elections. But this is instructive, too. (Lots of good stuff, but signing off with a “You’re dreaming mate” is masterful)",positive
"Eventually, yes. In this parliament? Absolutely not. And I'm not convinced there will be future elections. This all ends in a one party state.",positive
It is quite insane the DNC nominated 2 crooks to Run for presidential in both elections - 2 life time in public service making them self Rich - insane they could t find better evidence dose not lie - only the media and the left dose - facts you’ll see -,positive
"Why is it important for the president to be president...why don’t they keep this same energy of silence during elections...when we are in a state when people are crying, you can’t be sending us tweets, give us daily situation reports, show us you are on top of the Situation....",positive
"In the last 14 Presidential elections, the Democratic ticket has included a practicing Catholic 8 times. The Republican ticket has had a Catholic on the ticket once (and never at the top). Hmmm.",positive
We are not waiting for elections. We are really not waiting for any other bullywood PR strategy. We are waiting for fair justice. SSR was murdered. And we the public are fighting for justice worldwide. We want IPC sec 302. #ProtestInBengal4SSR,positive
"They don't like appearing when they will face scrutiny, Theresa May and Boris successfully dodged debates at past two general elections. Nowadays they use likes of Cambridge analytica to convince the gullible, rather than make an arse of themselves on television interviews.",positive
He is not Corrupt! And you calling to lock up people who run against you in elections and try to make them appear to be Corrupt and Criminals is exactly what all Dictators around the world have done and still do! This is how you scare People away from voting for you!!,negative
"From online to the front lines, the 7 million-strong Armenian diaspora is rallying to the fight in Nagorno-Karabakh. #BLM #Stopazeriterrorism #StopTurkishHitler #stopTurkishTerrorism #ISIS #terrorism #POTUS #elections #democrat #repulblican #Congress",negative
"I don’t know who will win the US Presidential elections. But I have voted for President Trump &amp; I can only hope he wins. And ‘s offensive tweet, portraying as Ma Durga, only strengthened my resolve to NOT vote for #DoneSendingMyVote",positive
We. Will. Not. Be. Silent. Get out to vote All elections matter Your vote matters Vote early Vote early #VoteBidenHarris2020 #VoteEarly #VoteBlueDownBallot #vote,positive
My Biden ballot has been received by the Board of Elections.,positive
".@POTUS if you want to win the elections, just prosecute Mexico’s president for the strong bonds that he has with the Cartels, laundering money for Cuba, granting brief asylum to Evo Morales, and helping Venezuela with tons of money. It’s easy you’ll be a hero. God bless America",positive
